cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
Y7,MOW,AER,,,Y71031,21.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,23.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,24.03.2025 11:20,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,26.03.2025 11:20,,,,,9635.0,9635.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,28.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,02.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,06.04.2025 11:25,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,09.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,13.04.2025 11:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,16.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,19.04.2025 11:35,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,23.04.2025 11:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,27.04.2025 11:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,01.05.2025 14:25,,,,,16685.0,16685.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,05.05.2025 14:25,,,,,6885.0,6885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,08.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,12.05.2025 14:25,,,,,6885.0,6885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,15.05.2025 14:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,19.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,22.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,29.05.2025 14:25,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,31.05.2025 14:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,01.06.2025 12:15,,,,,14885.0,14885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,02.06.2025 14:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,AER,MOW,,,Y71032,09.03.2025 16:45,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,12.03.2025 16:15,,,,,5935.0,5935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,14.03.2025 15:45,,,,,9635.0,9635.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,14.03.2025 16:45,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,17.03.2025 16:15,,,,,9635.0,9635.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,19.03.2025 16:15,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,21.03.2025 15:45,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,21.03.2025 16:45,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,23.03.2025 16:45,,,,,9635.0,9635.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,24.03.2025 16:15,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,26.03.2025 16:15,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71034,30.03.2025 15:25,,,,,16535.0,16535.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,30.03.2025 16:10,,,,,18935.0,18935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,02.04.2025 16:10,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,04.04.2025 14:40,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,06.04.2025 16:10,,,,,14885.0,14885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,09.04.2025 16:10,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,13.04.2025 16:10,,,,,14885.0,14885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,16.04.2025 16:10,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,19.04.2025 16:40,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,20.04.2025 16:10,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,25.04.2025 14:40,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,26.04.2025 18:35,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,27.04.2025 16:10,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,30.04.2025 16:10,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,01.05.2025 17:10,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,02.05.2025 15:45,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,04.05.2025 15:20,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,05.05.2025 17:10,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,07.05.2025 15:20,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,08.05.2025 17:10,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,09.05.2025 15:45,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,11.05.2025 15:20,,,,,18985.0,18985.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,15.05.2025 17:10,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y7401,16.05.2025 15:45,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
Y7,AER,MOW,,,Y71032,19.05.2025 17:10,,,,,6885.0,6885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
